#format table ## [Custom WaveView] saved 11:43:39 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 8.000E-05 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.371E-05 , 1.295E+00 , 1.325E+00 
 1.300E-04 , 2.615E-05 , 2.615E-05 , 2.615E-05 , 1.267E+00 , 1.267E+00 , 1.309E+00 
 1.800E-04 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.756E-06 , 1.319E+00 , 8.750E-06 
 2.300E-04 , 2.273E-04 , 2.273E-04 , 2.273E-04 , 1.249E+00 , 1.299E+00 , 2.273E-04 
 2.800E-04 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.370E-05 , 1.295E+00 , 1.325E+00 
 3.300E-04 , 2.273E-04 , 2.273E-04 , 2.273E-04 , 1.249E+00 , 1.299E+00 , 2.273E-04 
 3.800E-04 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.756E-06 , 1.319E+00 , 8.760E-06 
 4.300E-04 , 2.274E-04 , 2.274E-04 , 2.274E-04 , 1.249E+00 , 1.299E+00 , 2.273E-04 
 4.800E-04 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.370E-05 , 1.295E+00 , 1.325E+00 
 5.300E-04 , 1.945E-04 , 1.945E-04 , 1.945E-04 , 1.300E+00 , 1.945E-04 , 1.300E+00 
 5.800E-04 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.318E+00 , 8.685E-06 , 8.669E-06 
 6.300E-04 , 2.274E-04 , 2.274E-04 , 2.274E-04 , 1.249E+00 , 1.299E+00 , 2.274E-04 
 6.800E-04 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.369E-05 , 1.295E+00 , 1.325E+00 
 7.300E-04 , 1.945E-04 , 1.945E-04 , 1.945E-04 , 1.300E+00 , 1.945E-04 , 1.300E+00 
 7.800E-04 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.318E+00 , 8.684E-06 , 8.711E-06 
 8.300E-04 , 1.945E-04 , 1.945E-04 , 1.945E-04 , 1.300E+00 , 1.945E-04 , 1.300E+00 
 8.800E-04 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.369E-05 , 1.295E+00 , 1.325E+00 
 9.300E-04 , 1.946E-04 , 1.946E-04 , 1.946E-04 , 1.300E+00 , 1.946E-04 , 1.300E+00 
 9.800E-04 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.318E+00 , 8.685E-06 , 8.681E-06 
 1.030E-03 , 1.478E-03 , 1.478E-03 , 1.478E-03 , 1.288E+00 , 1.478E-03 , 1.478E-03 
 1.080E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.368E-05 , 1.325E+00 
 1.130E-03 , 1.946E-04 , 1.946E-04 , 1.946E-04 , 1.300E+00 , 1.946E-04 , 1.300E+00 
 1.180E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.318E+00 , 8.685E-06 , 8.683E-06 
 1.230E-03 , 1.478E-03 , 1.478E-03 , 1.478E-03 , 1.288E+00 , 1.478E-03 , 1.478E-03 
 1.280E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.367E-05 , 1.325E+00 
 1.330E-03 , 1.478E-03 , 1.478E-03 , 1.478E-03 , 1.288E+00 , 1.478E-03 , 1.478E-03 
 1.380E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.318E+00 , 8.685E-06 , 8.672E-06 
 1.430E-03 , 1.478E-03 , 1.478E-03 , 1.478E-03 , 1.288E+00 , 1.478E-03 , 1.478E-03 
 1.480E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.367E-05 , 1.325E+00 
 1.530E-03 , 1.478E-03 , 1.478E-03 , 1.478E-03 , 1.288E+00 , 1.478E-03 , 1.478E-03 
 1.580E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.130E-05 
 1.630E-03 , 1.479E-03 , 1.479E-03 , 1.479E-03 , 1.288E+00 , 1.479E-03 , 1.479E-03 
 1.680E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.366E-05 , 1.325E+00 
 1.730E-03 , 2.277E-04 , 2.277E-04 , 2.277E-04 , 2.277E-04 , 1.249E+00 , 1.299E+00 
 1.780E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.143E-05 
 1.830E-03 , 2.278E-04 , 2.278E-04 , 2.278E-04 , 2.278E-04 , 1.249E+00 , 1.299E+00 
 1.880E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.366E-05 , 1.325E+00 
 1.930E-03 , 1.479E-03 , 1.479E-03 , 1.479E-03 , 1.288E+00 , 1.479E-03 , 1.479E-03 
 1.980E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.129E-05 
 2.030E-03 , 2.278E-04 , 2.278E-04 , 2.278E-04 , 2.278E-04 , 1.249E+00 , 1.299E+00 
 2.080E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.128E-05 
 2.130E-03 , 2.279E-04 , 2.279E-04 , 2.279E-04 , 2.279E-04 , 1.249E+00 , 1.299E+00 
 2.180E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.135E-05 
 2.230E-03 , 1.479E-03 , 1.479E-03 , 1.479E-03 , 1.479E-03 , 1.288E+00 , 1.479E-03 
 2.280E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.136E-05 
 2.330E-03 , 2.279E-04 , 2.279E-04 , 2.279E-04 , 2.279E-04 , 1.249E+00 , 1.299E+00 
 2.380E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.135E-05 
 2.430E-03 , 2.279E-04 , 2.279E-04 , 2.279E-04 , 2.279E-04 , 1.249E+00 , 1.299E+00 
 2.480E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 2.530E-03 , 1.480E-03 , 1.480E-03 , 1.480E-03 , 1.480E-03 , 1.288E+00 , 1.480E-03 
 2.580E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 2.630E-03 , 2.280E-04 , 2.280E-04 , 2.280E-04 , 2.280E-04 , 1.249E+00 , 1.299E+00 
 2.680E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.134E-05 
 2.730E-03 , 1.480E-03 , 1.480E-03 , 1.480E-03 , 1.480E-03 , 1.288E+00 , 1.480E-03 
 2.780E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 2.830E-03 , 1.480E-03 , 1.480E-03 , 1.480E-03 , 1.480E-03 , 1.288E+00 , 1.480E-03 
 2.880E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.127E-05 
 2.930E-03 , 1.480E-03 , 1.480E-03 , 1.480E-03 , 1.480E-03 , 1.288E+00 , 1.480E-03 
 2.980E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 3.030E-03 , 1.480E-03 , 1.480E-03 , 1.480E-03 , 1.480E-03 , 1.288E+00 , 1.480E-03 
 3.080E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 3.130E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.288E+00 , 1.481E-03 
 3.180E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.133E-05 
 3.230E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.288E+00 
 3.280E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 3.330E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.288E+00 , 1.481E-03 
 3.380E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.132E-05 
 3.430E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.288E+00 , 1.481E-03 
 3.480E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 3.530E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.288E+00 
 3.580E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 3.630E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.288E+00 , 1.481E-03 
 3.680E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.132E-05 
 3.730E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.481E-03 , 1.288E+00 
 3.780E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 3.830E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.288E+00 
 3.880E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.131E-05 
 3.930E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.288E+00 , 1.482E-03 
 3.980E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 4.030E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.288E+00 
 4.080E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 4.130E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.288E+00 
 4.180E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.131E-05 
 4.230E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.288E+00 
 4.280E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 4.330E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.288E+00 
 4.380E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.122E-05 
 4.430E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.288E+00 
 4.480E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 4.530E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.482E-03 , 1.288E+00 
 4.580E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 4.630E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.288E+00 
 4.680E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.125E-05 
 4.730E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.288E+00 
 4.780E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 4.830E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.288E+00 
 4.880E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.129E-05 
 4.930E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.288E+00 
 4.980E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 5.030E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.288E+00 
 5.080E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 5.130E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.483E-03 , 1.288E+00 
 5.180E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.122E-05 
 5.230E-03 , 6.407E-03 , 6.407E-03 , 6.407E-03 , 6.407E-03 , 6.407E-03 , 6.407E-03 
 5.280E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 5.330E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.288E+00 
 5.380E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.128E-05 
 5.430E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.288E+00 
 5.480E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 5.530E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.288E+00 
 5.580E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 5.630E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.288E+00 
 5.680E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.122E-05 
 5.730E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.288E+00 
 5.780E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 5.830E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.288E+00 
 5.880E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.128E-05 
 5.930E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.484E-03 , 1.288E+00 
 5.980E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 6.030E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.288E+00 
 6.080E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 6.130E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.288E+00 
 6.180E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.120E-05 
 6.230E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.288E+00 
 6.280E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 6.330E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.288E+00 
 6.380E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.127E-05 
 6.430E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.288E+00 , 1.485E-03 
 6.480E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 6.530E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.288E+00 
 6.580E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 6.630E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.485E-03 , 1.288E+00 , 1.485E-03 
 6.680E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.124E-05 
 6.730E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.288E+00 
 6.780E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 6.830E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.288E+00 , 1.486E-03 
 6.880E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.124E-05 
 6.930E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.288E+00 , 1.486E-03 
 6.980E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 7.030E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.288E+00 
 7.080E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 7.130E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.288E+00 , 1.486E-03 
 7.180E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.124E-05 
 7.230E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.288E+00 
 7.280E-03 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.315E+00 , 1.337E+00 
 7.330E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.486E-03 , 1.288E+00 , 1.486E-03 
 7.380E-03 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.294E+00 , 1.325E+00 , 2.118E-05 
