#format table ## [Custom WaveView] saved 03:05:28 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 8.000E-05 , 1.240E+00 , 1.240E+00 , 1.295E+00 , 8.176E-04 , 1.295E+00 , 8.176E-04 
 1.300E-04 , 3.844E-03 , 3.844E-03 , 3.844E-03 , 1.222E+00 , 1.222E+00 , 1.285E+00 
 1.800E-04 , 1.240E+00 , 1.240E+00 , 1.295E+00 , 8.176E-04 , 1.295E+00 , 8.176E-04 
 2.300E-04 , 1.046E-02 , 1.046E-02 , 1.046E-02 , 1.208E+00 , 1.277E+00 , 1.046E-02 
 2.800E-04 , 1.257E+00 , 1.257E+00 , 1.305E+00 , 1.322E-04 , 1.257E+00 , 1.305E+00 
 3.300E-04 , 1.046E-02 , 1.046E-02 , 1.046E-02 , 1.208E+00 , 1.277E+00 , 1.046E-02 
 3.800E-04 , 1.240E+00 , 1.240E+00 , 1.295E+00 , 8.178E-04 , 1.295E+00 , 8.178E-04 
 4.300E-04 , 1.046E-02 , 1.046E-02 , 1.046E-02 , 1.208E+00 , 1.277E+00 , 1.046E-02 
 4.800E-04 , 1.257E+00 , 1.257E+00 , 1.305E+00 , 1.322E-04 , 1.257E+00 , 1.305E+00 
 5.300E-04 , 9.646E-03 , 9.646E-03 , 9.646E-03 , 1.277E+00 , 9.646E-03 , 1.277E+00 
 5.800E-04 , 1.238E+00 , 1.238E+00 , 1.238E+00 , 1.294E+00 , 9.346E-04 , 9.346E-04 
 6.300E-04 , 1.046E-02 , 1.046E-02 , 1.046E-02 , 1.208E+00 , 1.277E+00 , 1.046E-02 
 6.800E-04 , 1.257E+00 , 1.257E+00 , 1.305E+00 , 1.323E-04 , 1.257E+00 , 1.305E+00 
 7.300E-04 , 9.647E-03 , 9.647E-03 , 9.647E-03 , 1.277E+00 , 9.647E-03 , 1.277E+00 
 7.800E-04 , 1.238E+00 , 1.238E+00 , 1.238E+00 , 1.294E+00 , 9.348E-04 , 9.348E-04 
 8.300E-04 , 9.647E-03 , 9.647E-03 , 9.647E-03 , 1.277E+00 , 9.647E-03 , 1.277E+00 
 8.800E-04 , 1.257E+00 , 1.257E+00 , 1.305E+00 , 1.323E-04 , 1.257E+00 , 1.305E+00 
 9.300E-04 , 9.648E-03 , 9.648E-03 , 9.648E-03 , 1.277E+00 , 9.648E-03 , 1.277E+00 
 9.800E-04 , 1.238E+00 , 1.238E+00 , 1.238E+00 , 1.294E+00 , 9.350E-04 , 9.349E-04 
 1.030E-03 , 2.153E-02 , 2.153E-02 , 2.153E-02 , 1.269E+00 , 2.153E-02 , 2.153E-02 
