#format table ## [Custom WaveView] saved 05:23:05 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 2.480E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 2.530E-03 , 6.150E-03 , 6.150E-03 , 6.150E-03 , 6.150E-03 , 1.281E+00 , 6.150E-03 
 2.580E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 2.630E-03 , 1.708E-03 , 1.708E-03 , 1.708E-03 , 1.708E-03 , 1.231E+00 , 1.290E+00 
 2.680E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.737E-06 
 2.730E-03 , 6.151E-03 , 6.151E-03 , 6.151E-03 , 6.151E-03 , 1.281E+00 , 6.151E-03 
 2.780E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 2.830E-03 , 6.151E-03 , 6.151E-03 , 6.151E-03 , 6.151E-03 , 1.281E+00 , 6.151E-03 
 2.880E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.808E-06 
 2.930E-03 , 6.151E-03 , 6.151E-03 , 6.151E-03 , 6.151E-03 , 1.281E+00 , 6.151E-03 
 2.980E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 3.030E-03 , 6.152E-03 , 6.152E-03 , 6.152E-03 , 6.152E-03 , 1.281E+00 , 6.152E-03 
 3.080E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 3.130E-03 , 6.152E-03 , 6.152E-03 , 6.152E-03 , 6.152E-03 , 1.281E+00 , 6.152E-03 
 3.180E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.816E-06 
 3.230E-03 , 6.152E-03 , 6.152E-03 , 6.152E-03 , 6.152E-03 , 6.152E-03 , 1.281E+00 
